iter	Passed	Remaining
0	1	2921
1	3	2371
2	4	2200
3	5	2185
4	7	2104
5	8	2048
6	9	2003
7	10	1985
8	11	1958
9	13	1944
10	14	1941
11	15	1930
12	16	1921
13	17	1907
14	19	1900
15	20	1893
16	21	1897
17	23	1895
18	24	1895
19	25	1887
20	26	1881
21	27	1874
22	29	1889
23	30	1888
24	31	1887
25	33	1882
26	34	1878
27	35	1873
28	36	1869
29	38	1870
30	39	1864
31	40	1860
32	41	1855
33	42	1852
34	44	1849
35	45	1855
36	47	1859
37	48	1857
38	49	1854
39	50	1851
40	51	1848
41	53	1857
42	54	1856
43	56	1853
44	57	1851
45	58	1848
46	59	1847
47	61	1848
48	62	1845
49	63	1842
50	64	1839
51	65	1835
52	67	1831
53	68	1827
54	69	1825
55	70	1823
56	71	1820
57	73	1817
58	74	1816
59	75	1815
60	77	1822
61	78	1821
62	79	1819
63	81	1817
64	82	1814
65	83	1811
66	84	1812
67	85	1809
68	87	1806
69	88	1804
70	89	1801
71	90	1798
72	91	1796
73	93	1794
74	94	1792
75	95	1790
76	96	1787
77	97	1785
78	99	1782
79	100	1782
80	101	1780
81	102	1779
82	104	1779
83	105	1778
84	106	1777
85	107	1775
86	109	1774
87	110	1772
88	111	1770
89	112	1768
90	114	1766
91	115	1764
92	116	1763
93	117	1762
94	119	1761
95	120	1759
96	121	1756
97	122	1754
98	123	1753
99	125	1752
100	126	1750
101	127	1748
102	128	1746
103	130	1745
104	131	1746
105	132	1748
106	134	1748
107	135	1747
108	136	1745
109	138	1745
110	139	1743
111	140	1742
112	141	1741
113	143	1740
114	144	1740
115	145	1739
116	146	1737
117	148	1736
118	149	1736
119	151	1736
120	152	1735
121	153	1734
122	154	1732
123	156	1731
124	157	1729
125	158	1728
126	159	1727
127	160	1725
128	162	1723
129	163	1722
130	164	1722
131	166	1721
132	167	1720
133	168	1718
134	169	1717
135	171	1715
136	172	1715
137	173	1714
138	174	1712
139	176	1711
140	177	1709
141	178	1708
142	180	1708
143	181	1708
144	182	1706
145	183	1704
146	185	1702
147	186	1700
148	187	1699
149	188	1698
150	189	1697
151	191	1695
152	192	1693
153	193	1692
154	194	1691
155	196	1689
156	197	1688
157	198	1686
158	199	1684
159	200	1682
160	202	1680
161	203	1679
162	204	1678
163	205	1676
164	207	1675
165	208	1674
166	209	1672
167	210	1671
168	212	1672
169	213	1670
170	214	1668
171	215	1666
172	217	1665
173	218	1663
174	219	1663
175	221	1662
176	222	1661
177	223	1660
178	224	1658
179	225	1657
180	227	1655
181	228	1654
182	229	1652
183	230	1651
184	232	1650
185	233	1649
186	234	1647
187	237	1657
188	238	1656
189	240	1654
190	241	1653
191	242	1651
192	243	1650
193	244	1649
194	246	1648
195	247	1647
196	248	1645
197	249	1643
198	251	1642
199	252	1641
200	253	1639
201	254	1637
202	256	1636
203	257	1634
204	258	1632
205	259	1631
206	261	1630
207	262	1628
208	263	1627
209	264	1625
210	265	1623
211	267	1622
212	268	1621
213	269	1619
214	270	1618
215	271	1616
216	273	1615
217	274	1614
218	275	1614
219	277	1612
220	278	1610
221	279	1609
222	280	1607
223	282	1606
224	283	1605
225	284	1603
226	285	1602
227	286	1600
228	288	1598
229	289	1597
230	290	1595
231	291	1594
232	292	1592
233	294	1591
234	295	1589
235	296	1588
236	297	1587
237	299	1585
238	300	1584
239	301	1582
240	302	1581
241	303	1579
242	305	1578
243	306	1576
244	307	1575
245	308	1574
246	310	1573
247	311	1572
248	312	1571
249	313	1569
250	315	1569
251	316	1567
252	317	1566
253	319	1565
254	320	1563
255	321	1562
256	322	1561
257	324	1560
258	325	1559
259	326	1557
260	328	1557
261	329	1556
262	330	1555
263	331	1553
264	333	1552
265	334	1552
266	335	1551
267	337	1550
268	338	1548
269	339	1547
270	340	1546
271	342	1545
272	343	1544
273	345	1543
274	346	1543
275	347	1541
276	348	1540
277	350	1539
278	351	1539
279	352	1537
280	354	1537
281	355	1536
282	356	1534
283	358	1534
284	359	1533
285	361	1532
286	362	1531
287	363	1530
288	364	1528
289	366	1527
290	367	1527
291	368	1526
292	370	1525
293	371	1524
294	372	1522
295	374	1522
296	375	1521
297	376	1520
298	378	1518
299	379	1517
300	380	1515
301	381	1515
302	383	1514
303	384	1513
304	386	1512
305	387	1511
306	388	1509
307	389	1509
308	391	1507
309	392	1506
310	393	1505
311	394	1503
312	396	1502
313	397	1501
314	399	1501
315	400	1500
316	401	1498
317	402	1497
318	404	1496
319	405	1495
320	406	1494
321	408	1493
322	409	1491
323	410	1491
324	412	1489
325	413	1489
326	414	1488
327	416	1487
328	417	1486
329	418	1484
330	420	1483
331	421	1481
332	422	1481
333	424	1480
334	425	1478
335	426	1478
336	427	1476
337	429	1475
338	430	1474
339	432	1474
340	433	1473
341	434	1472
342	435	1470
343	437	1469
344	438	1468
345	440	1467
346	441	1466
347	442	1465
348	443	1463
349	444	1461
350	446	1461
351	447	1460
352	448	1458
353	450	1458
354	451	1456
355	453	1455
356	454	1455
357	455	1453
358	456	1452
359	458	1451
360	459	1449
361	460	1448
362	462	1448
363	463	1447
364	464	1445
365	466	1444
366	467	1443
367	468	1441
368	470	1440
369	471	1439
370	472	1438
371	473	1437
372	475	1435
373	476	1434
374	478	1434
375	479	1432
376	480	1431
377	482	1430
378	483	1429
379	484	1428
380	485	1427
381	487	1425
382	488	1424
383	489	1423
384	491	1422
385	492	1420
386	493	1419
387	494	1418
388	495	1416
389	497	1415
390	498	1413
391	499	1412
392	500	1410
393	502	1409
394	503	1408
395	504	1406
396	506	1406
397	507	1404
398	508	1403
399	509	1402
400	511	1400
401	512	1399
402	513	1398
403	514	1396
404	516	1395
405	517	1393
406	518	1392
407	519	1390
408	520	1389
409	522	1387
410	523	1386
411	524	1384
412	525	1383
413	526	1381
414	527	1380
415	529	1379
416	530	1377
417	531	1376
418	532	1374
419	534	1373
420	535	1372
421	536	1370
422	537	1369
423	539	1368
424	540	1366
425	541	1365
426	542	1363
427	543	1362
428	545	1361
429	546	1360
430	547	1358
431	549	1357
432	550	1355
433	551	1354
434	552	1353
435	553	1351
436	555	1350
437	556	1349
438	557	1347
439	558	1346
440	560	1344
441	561	1344
442	562	1342
443	563	1341
444	565	1339
445	566	1338
446	567	1337
447	568	1336
448	570	1334
449	571	1333
450	572	1331
451	573	1330
452	575	1329
453	576	1327
454	577	1326
455	578	1324
456	579	1323
457	581	1321
458	582	1320
459	583	1319
460	584	1317
461	586	1316
462	587	1315
463	588	1314
464	589	1312
465	590	1311
466	592	1309
467	593	1308
468	594	1307
469	596	1306
470	597	1304
471	598	1303
472	599	1301
473	601	1300
474	602	1299
475	603	1298
476	604	1296
477	605	1295
478	607	1293
479	608	1292
480	609	1291
481	610	1289
482	611	1288
483	613	1287
484	614	1286
485	615	1284
486	616	1283
487	618	1282
488	619	1280
489	620	1279
490	621	1277
491	622	1276
492	624	1275
493	625	1273
494	626	1272
495	627	1271
496	629	1269
